"","Dune_Crest_Elevation","Lowest_Recent_Dune_Crest_Elevation","Island_Interior_Width","Narrowest_Recent_Island_Interior_Width","Beach_Width","Change_in_Dune_Crest_Elevation","Change_in_Island_Interior_Width","Change_in_Beach_Width","Shrub_Presence","Island_Name","Year","Transect_Number"
"Smith 2010 90",1.67744076,1.67744076,18.303823,18.303823,37.3445931605161,-0.27876024,-6.7311940015508,83.696177,"Non-shrub","Smith",2010,90
"Smith 2010 91",1.5356619,1.5356619,21.450704,21.450704,31.9856501071777,-0.4068001,-6.36154695455319,85.549296,"Non-shrub","Smith",2010,91
"Smith 2010 92",1.82052825,1.82052825,92.841046,92.841046,29.7827394730919,-0.13021775,-0.949320675679778,80.158954,"Non-shrub","Smith",2010,92
"Smith 2010 93",1.88908839,1.74172,74.036217,74.036217,35.1040096395297,0.14736839,-4.01032157605413,96.963783,"Non-shrub","Smith",2010,93
"Smith 2010 94",1.95090665,1.738531,18.37827,18.37827,35.6689749435702,0.21237565,-6.60992495872659,111.62173,"Non-shrub","Smith",2010,94
"Smith 2010 95",1.78240905,1.78240905,26.865191,26.865191,25.701454313049,-0.02608195,-6.33344754455236,75.134809,"Non-shrub","Smith",2010,95
"Smith 2010 96",1.80429946,1.668929,54.426559,23.581,17.3667809212239,0.13537046,10.0620639824109,85.573441,"Non-shrub","Smith",2010,96
"Smith 2010 97",1.89686879,1.66229,2.549296,-5.9748,43.3144210120769,0.23457879,-10.9744207723722,110.450704,"Non-shrub","Smith",2010,97
"Smith 2010 98",1.89496961,1.657176,36.012072,-14.4771,30.362661240976,0.23779361,-26.8270749082237,114.987928,"Non-shrub","Smith",2010,98
"Smith 2010 99",1.97124536,1.719965,9.01207199999999,-7.83220000000001,38.5697877479041,0.25128036,-16.5434134824089,111.987928,"Non-shrub","Smith",2010,99
"Smith 2010 100",1.84043513,1.587326,39.37827,19.8064,66.3872746394826,0.25310913,7.60122213798802,110.62173,"Non-shrub","Smith",2010,100
"Smith 2010 101",1.92816847,1.614527,15.889336,15.889336,39.4651692531869,0.31364147,-6.54029070467597,93.110664,"Non-shrub","Smith",2010,101
"Smith 2010 102",1.87853762,1.654829,59.108652,46.4553,50.3997493801938,0.22370862,2.09520715447058,97.891348,"Non-shrub","Smith",2010,102
"Smith 2010 103",1.90682154,1.56331,100.132797,13.935,37.7032438775474,0.34351154,47.5823449532168,93.867203,"Non-shrub","Smith",2010,103
"Smith 2010 104",1.8548116,1.652624,36.303823,30.3469,43.358130276278,0.2021876,1.50995602896456,76.696177,"Non-shrub","Smith",2010,104
"Smith 2010 105",1.88818003,1.572301,18.303823,13.2264,43.7862778264324,0.31587903,2.95296528155809,82.696177,"Non-shrub","Smith",2010,105
"Smith 2010 106",1.62161798,1.62161798,14.279678,10.4518,59.9653450557821,-0.0177820200000001,2.81723869425508,80.720322,"Non-shrub","Smith",2010,106
"Smith 2010 107",1.48375624,1.48375624,11.060362,-9.2157,84.007083393444,-0.16639576,-16.9243473303501,84.939638,"Non-shrub","Smith",2010,107
"Smith 2010 108",1.38934295,1.38934295,37.913481,-16.2002,47.0311884985457,-0.30231905,-25.6946880048015,84.086519,"Non-shrub","Smith",2010,108
"Smith 2010 109",1.70252155,1.691642,26.352113,-3.7028,30.8172768257012,0.0108795499999998,-62.4369770070051,82.647887,"Non-shrub","Smith",2010,109
"Smith 2010 110",1.69325912,1.69325912,29.571429,-7.78233,46.8617987336903,-0.0931908800000001,-36.921668406802,87.428571,"Non-shrub","Smith",2010,110
"Smith 2010 111",1.72107598,1.72107598,31.181087,-15.6336,51.0053330476274,-0.00127502000000002,-23.034552305488,87.818913,"Non-shrub","Smith",2010,111
"Smith 2010 112",1.73293972,1.522662,17.498994,17.498994,89.787770469591,0.21027772,-3.40385571151714,95.501006,"Non-shrub","Smith",2010,112
"Myrtle 2010 6",1.93832482,1.93832482,13.647887,13.647887,19.6416724643079,-0.41961818,-7.37771460662409,110.352113,"Non-shrub","Myrtle",2010,6
"Myrtle 2010 7",1.36460203,1.36460203,8.802817,8.802817,153.950784108489,-0.56865197,-7.23053291114078,98.197183,"Non-shrub","Myrtle",2010,7
"Myrtle 2010 8",0.979890482,0.979890482,-29.577465,-29.577465,79.6291957899443,-1.209897518,-7.40183857207806,127.577465,"Non-shrub","Myrtle",2010,8
"Myrtle 2010 9",0.849993055,0.849993055,-20.647887,-20.647887,7.72430397453669,-0.658897945,-7.25502957626112,127.647887,"Non-shrub","Myrtle",2010,9
"Myrtle 2010 10",0.684898691,0.684898691,18.408451,18.408451,-2.76950240973683,-0.956234309,-7.35812919249214,126.591549,"Non-shrub","Myrtle",2010,10
"Myrtle 2010 14",0,0,-189,-189,2.67137614407123,-1.766843,-9.99284780223042,280,"Non-shrub","Myrtle",2010,14
"Myrtle 2010 15",0,0,-207,-207,5.4861966801341,-1.783259,-10.0932777022173,292,"Non-shrub","Myrtle",2010,15
"Myrtle 2010 16",0,0,-178,-178,10.7963373072205,-1.796747,-10.2352689222219,304,"Non-shrub","Myrtle",2010,16
"Myrtle 2010 17",0,0,-186,-186,13.1587342412142,-1.690952,-10.3441866360026,319,"Non-shrub","Myrtle",2010,17
"Myrtle 2010 18",0,0,-225,-225,14.519254534903,-1.712684,-10.2959382812196,330,"Non-shrub","Myrtle",2010,18
"Ship 2010 15",1.71756694,1.62468,214.794769,42.4074187466,12.8722834940596,0.0928869400000001,31.2694471770245,75.205231,"Non-shrub","Ship",2010,15
"Ship 2010 16",1.67399171,1.633598,141.869215,42.0335169116,1.94498077512735,0.0403937099999998,18.2703462569503,71.130785,"Non-shrub","Ship",2010,16
"Ship 2010 17",1.64643115,1.493072,128.334004,107.1957844938,30.7804685503956,0.15335915,1.51686644467475,60.665996,"Non-shrub","Ship",2010,17
"Ship 2010 18",1.97515616,1.51795,25.020121,25.020121,62.9623539262158,0.45720616,-6.63711265602102,84.979879,"Non-shrub","Ship",2010,18
"Ship 2010 19",1.75075427,1.063815,37.044266,37.044266,47.5581976046099,0.68693927,-5.86095938446551,69.955734,"Non-shrub","Ship",2010,19
"Ship 2010 20",1.71236454,1.440374,49.020121,28.3350221283,31.6993573176981,0.27199054,5.61552923609696,55.979879,"Non-shrub","Ship",2010,20
"Ship 2010 21",1.66048975,1.480772,64.605634,15.9374932273,-5.57964876920897,0.17971775,23.489912014198,52.394366,"Non-shrub","Ship",2010,21
"Ship 2010 22",1.70669213,1.640313,77.971831,35.1082109514,-5.44655136811506,0.0663791300000001,9.39153962235299,48.028169,"Non-shrub","Ship",2010,22
"Ship 2010 23",1.66325198,1.66325198,60.557344,33.2929392869,-5.24019853694478,-0.76664602,6.29941947430553,49.442656,"Non-shrub","Ship",2010,23
"Ship 2010 24",1.88943045,1.88943045,69.72837,69.72837,-8.86959941800638,-0.52539755,-3.62367594173557,66.27163,"Non-shrub","Ship",2010,24
"Ship 2010 25",2.5248061,2.24459,119.605634,105.1561124457,-7.63755197045452,0.2802161,1.05700147349687,79.394366,"Non-shrub","Ship",2010,25
"Ship 2010 26",2.41858686,2.14631,128.947686,108.2340676292,-1.85808862302077,0.27227686,1.4721383887659,111.052314,"Non-shrub","Ship",2010,26
"Ship 2010 27",2.02774895,1.875433,111.070423,87.1718793567001,-3.28609367916359,0.15231595,2.10887906121732,122.929577,"Non-shrub","Ship",2010,27
"Wreck 2010 7",1.14972913,1.14972913,148.080483,148.080483,45.3566152115371,-0.57536387,-6.42776276022991,90.919517,"Non-shrub","Wreck",2010,7
"Wreck 2010 8",1.1170735,1.1170735,132.275654,132.275654,30.6993122679652,-0.5797805,-6.46864551487276,91.724346,"Non-shrub","Wreck",2010,8
"Wreck 2010 9",1.14712369,1.14712369,137.422535,137.422535,87.7414244096104,-0.48373531,-6.45655294074538,101.577465,"Non-shrub","Wreck",2010,9
"Wreck 2010 10",1.05999091,1.05999091,141.983903,141.983903,-31.011778963842,-0.58133909,-6.52234237685793,108.016097,"Non-shrub","Wreck",2010,10
"Wreck 2010 11",1.03154578,1.03154578,154.179074,154.179074,-10.2575595636041,-0.14283522,-5.64032298226068,111.820926,"Non-shrub","Wreck",2010,11
"Wreck 2010 12",1.18195828,1.18195828,857.788732,543.6883494172,-12.9170168483314,-0.64458272,4.44401060219229,117.211268,"Non-shrub","Wreck",2010,12
"Wreck 2010 13",1.37810387,1.37810387,387.203219,154.6736161264,11.369527570367,-0.49725113,11.5642815993396,108.796781,"Non-shrub","Wreck",2010,13
"Wreck 2010 14",2.08011816,1.971809,235.014085,206.1897125803,13.0213909892455,0.10830916,1.07534919621002,205.985915,"Non-shrub","Wreck",2010,14
"Wreck 2010 15",2.30530798,1.861823,276.231388,276.231388,-2.50771224942844,0.44348498,-0.68377974624076,173.768612,"Shrub","Wreck",2010,15
"Wreck 2010 16",2.09586234,1.6721,311.036217,289.0853579627,-5.10275130464945,0.42376234,0.584093096292934,159.963783,"Shrub","Wreck",2010,16
"Wreck 2010 17",2.02799167,2.02799167,267.32998,205.2282059586,-6.87017279146897,-0.71561433,2.32768177226566,177.67002,"Shrub","Wreck",2010,17
"Wreck 2010 18",2.15495647,2.095442,201.283702,199.5884013116,-4.81142812556602,0.0595144700000003,0.0653383385029187,210.716298,"Shrub","Wreck",2010,18
"Wreck 2010 19",2.14980537,2.14980537,172.287726,156.1421182401,-2.92914928013757,-0.27126463,0.795409875108034,272.712274,"Non-shrub","Wreck",2010,19
"Wreck 2010 20",1.46159627,1.46159627,243.841046,67.9103887805,-11.4028017811484,-0.99054873,19.9279193087303,147.158954,"Non-shrub","Wreck",2010,20
"Wreck 2010 21",1.77016117,1.77016117,217.231388,-22.3620812022,-12.7742158185856,-0.13948083,-82.4174936807513,133.768612,"Non-shrub","Wreck",2010,21
"Wreck 2010 22",1.74297749,1.74297749,234.32998,194.8487601976,12.7223440270881,-0.11073451,1.55865344218615,140.67002,"Non-shrub","Wreck",2010,22
"Wreck 2010 23",1.790735,1.475961,177.939638,0.095488068800023,-10.9787626132637,0.314774,14326.7314936771,134.060362,"Shrub","Wreck",2010,23
"Wreck 2010 24",2.05570899,1.683173,207.134809,77.3692897205,-9.64699066946604,0.37253599,12.9017121102705,130.865191,"Shrub","Wreck",2010,24
"Wreck 2010 25",2.24498607,1.483384,186.183099,-8.85496586760001,-8.18517350742265,0.76160207,-169.429541469308,119.816901,"Non-shrub","Wreck",2010,25
"Wreck 2010 26",2.08054078,1.410056,162.843058,-66.7269847895,-7.82738859659937,0.67048478,-26.464906388981,133.156942,"Non-shrub","Wreck",2010,26
"Wreck 2010 27",2.29737143,2.29737143,76.257545,16.3879371298,-3.17892735843978,-0.41102857,28.1020998254833,130.742455,"Non-shrub","Wreck",2010,27
"Wreck 2010 28",2.30959978,1.78674,88.772636,50.3945770886,25.772773195147,0.52285978,5.85808741406785,174.227364,"Non-shrub","Wreck",2010,28
"Wreck 2010 29",1.63196463,1.63196463,124.98994,49.8627816965,19.963872535923,-0.22270637,11.5898310935949,135.01006,"Non-shrub","Wreck",2010,29
"Wreck 2010 30",2.12589508,1.917057,70.84507,62.768718858,25.7996817676013,0.20883808,0.989756986372946,159.15493,"Non-shrub","Wreck",2010,30
"Wreck 2010 31",1.79236617,1.79236617,92.60161,28.0566917392,24.3884477329503,-0.17328483,17.6962906336968,153.39839,"Non-shrub","Wreck",2010,31
"Wreck 2010 32",1.8105079,1.8105079,82.136821,25.9976374976,11.8516988066699,-0.1148551,16.6107352306628,123.863179,"Non-shrub","Wreck",2010,32
"Wreck 2010 33",2.20828932,1.944565,108.579477,58.3581787523,27.232852771243,0.26372432,6.61976927806775,175.420523,"Non-shrub","Wreck",2010,33
"Wreck 2010 34",1.4249994,1.4249994,145.792757,1.32781177430002,5.53555583306077,-0.4702756,836.917423792457,88.207243,"Non-shrub","Wreck",2010,34
"Wreck 2010 35",1.47489205,1.47489205,106.37827,65.6974937395,4.41803263704326,-0.51688295,4.76318091217453,76.62173,"Non-shrub","Wreck",2010,35
"Wreck 2010 36",1.50803782,1.50803782,100.012072,81.045754147,10.252251964311,-0.53489018,1.80015294139607,72.987928,"Non-shrub","Wreck",2010,36
"Wreck 2010 37",1.35322998,1.35322998,183.841046,61.8414264749,11.12558111289,-0.52279702,15.1752419894848,78.158954,"Non-shrub","Wreck",2010,37
"Wreck 2010 38",1.34921176,1.34921176,147.694165,-16.1629009791,9.90279782077133,-0.33541024,-77.9834616755899,74.305835,"Non-shrub","Wreck",2010,38
"Wreck 2010 39",1.29942198,1.29942198,133.694165,-4.14879614750001,14.1676300414883,-0.52653502,-255.575456751309,77.305835,"Non-shrub","Wreck",2010,39
"Wreck 2010 40",1.21012263,1.21012263,128.547284,7.7881330933,17.7213099816723,-0.58043237,119.273327035883,79.452716,"Non-shrub","Wreck",2010,40
"Wreck 2010 41",1.22755057,1.22755057,142.132797,6.63210344320001,14.2297918205472,-0.64908543,157.161756641281,81.867203,"Non-shrub","Wreck",2010,41
"Wreck 2010 42",1.04347815,1.04347815,121.523139,6.8739333625,30.1191387999647,-0.72691085,128.298736681608,85.476861,"Non-shrub","Wreck",2010,42
"Cobb 2010 7",1.06036482,1.992077,283.066132,283.066132,-27.8794825461021,0.12948042,32.5718181952133,98.933868,"Non-shrub","Cobb",2010,7
"Cobb 2010 8",1.103877,1.99633017,277.048096,277.048096,-28.289259696855,-0.21001683,-17.7714700841494,120.951904,"Non-shrub","Cobb",2010,8
"Cobb 2010 9",1.18255202,1.52317636,221.056112,221.056112,-29.9106083687279,-0.55238964,-24.0151403901986,120.943888,"Non-shrub","Cobb",2010,9
"Cobb 2010 10",1.34711954,1.35371563,215.08016,-78.1522878175,-33.8423990651718,-1.44045937,-7.15737548123597,118.91984,"Non-shrub","Cobb",2010,10
"Cobb 2010 11",2.09253601,1.47264008,209.122244,209.122244,-25.7669742468963,-0.67659692,-8.90149950400265,103.877756,"Non-shrub","Cobb",2010,11
"Cobb 2010 12",2.05033784,1.66186431,234.180361,234.180361,-34.3063519759211,-0.42203869,-6.85477622434175,79.819639,"Non-shrub","Cobb",2010,12
"Cobb 2010 13",2.12155742,1.39874085,89.158317,75.4391432717,-24.6199245823253,-0.72658915,-7.79148081800376,87.841683,"Non-shrub","Cobb",2010,13
"Cobb 2010 14",1.99633017,1.5044219,46.220441,42.1494655187,-38.1734693746222,-0.7346651,-8.37569694488971,55.779559,"Non-shrub","Cobb",2010,14
"Cobb 2010 15",1.52317636,1.69046661,50.268537,26.0031906609,-34.2448164873728,-0.40491839,-8.33923573829146,34.731463,"Non-shrub","Cobb",2010,15
"Cobb 2010 16",1.35371563,2.42964387,108.308617,-6.75149529779998,663.780734447805,-0.24395713,-5.89213877248873,26.691383,"Non-shrub","Cobb",2010,16
"Cobb 2010 17",1.47264008,2.14203569,105.318637,27.3062105073,5.62649760111372,-0.00511031000000006,-7.69329000890864,33.681363,"Non-shrub","Cobb",2010,17
"Cobb 2010 18",1.66186431,2.29325906,117.320641,69.2789032505,4.2526503268569,-0.33179694,-8.35442837202485,43.679359,"Non-shrub","Cobb",2010,18
"Cobb 2010 19",1.39874085,2.274552,112.358717,45.2945288199,2.12921846547546,0.0950303699999999,-7.33397909423961,35.641283,"Non-shrub","Cobb",2010,19
"Cobb 2010 20",1.5044219,2.15584457,112.380762,26.9507288737,9.80601678059598,-0.11967943,-7.14586628483762,39.619238,"Non-shrub","Cobb",2010,20
